0001954387,10:04:20,2016/08/30,OK(1) B=26 V=2599143
0001953201,10:07:19,2016/08/30,OK(1) B=26 V=36151203
0002002367,10:08:13,2016/08/30,OK(1) B=26 V=2626175
0001953499,10:08:35,2016/08/30,OK(1) B=26 V=2597366
0002000757,10:08:56,2016/08/30,OK(1) B=26 V=2622954
0002002367,10:12:00,2016/08/30,OK(1) B=26 V=2626175
0001953232,10:21:13,2016/08/30,OK(1) B=26 V=36151265
0002002425,10:23:53,2016/08/30,OK(1) B=26 V=2626290
0002002594,10:31:39,2016/08/30,OK(1) B=26 V=2626629
0002000599,10:32:38,2016/08/30,OK(1) B=26 V=2622639
0002002476,10:38:21,2016/08/30,OK(1) B=26 V=2626393
0002002367,10:40:17,2016/08/30,OK(1) B=26 V=2626175
0001953620,10:41:05,2016/08/30,OK(1) B=26 V=2597608
0001954509,10:42:22,2016/08/30,OK(1) B=26 V=2599386
0001954234,10:42:24,2016/08/30,OK(1) B=26 V=2598836
0001953255,10:48:29,2016/08/30,OK(1) B=26 V=2596878
0002000147,10:52:49,2016/08/30,OK(1) B=26 V=2621735
0001953661,10:53:18,2016/08/30,OK(1) B=26 V=2597691
0001953661,10:53:21,2016/08/30,OK(1) B=26 V=2597691
0001953661,10:57:16,2016/08/30,OK(1) B=26 V=2597691
0001953661,10:57:18,2016/08/30,OK(1) B=26 V=2597691
0001953661,10:57:21,2016/08/30,OK(1) B=26 V=2597691
0001953661,10:57:23,2016/08/30,OK(1) B=26 V=2597691
0001964286,10:57:30,2016/08/30,OK(1) B=26 V=36173372
0002001733,10:59:23,2016/08/30,OK(1) B=26 V=2624907
0001954411,11:00:38,2016/08/30,OK(1) B=26 V=2599190
0001953214,11:02:08,2016/08/30,OK(1) B=26 V=36151229
0001953214,11:03:08,2016/08/30,OK(1) B=26 V=36151229
0001954387,11:03:13,2016/08/30,OK(1) B=26 V=2599143
0002000599,11:05:27,2016/08/30,OK(1) B=26 V=2622639
0001953316,11:08:05,2016/08/30,OK(1) B=26 V=2597001
0001954692,11:08:52,2016/08/30,OK(1) B=26 V=2599752
0001953616,11:08:55,2016/08/30,OK(1) B=26 V=2597601
0001953562,11:08:56,2016/08/30,OK(1) B=26 V=2597492
0001954411,11:11:40,2016/08/30,OK(1) B=26 V=2599190
0001954411,11:13:48,2016/08/30,OK(1) B=26 V=2599190
0001954411,11:15:06,2016/08/30,OK(1) B=26 V=2599190
0001953720,11:16:58,2016/08/30,OK(1) B=26 V=2597808
0001953720,11:17:07,2016/08/30,OK(1) B=26 V=2597808
0001953720,11:17:19,2016/08/30,OK(1) B=26 V=2597808
0001954360,11:17:54,2016/08/30,OK(1) B=26 V=2599089
0001953563,11:18:39,2016/08/30,OK(1) B=26 V=2597495
0001953316,11:18:41,2016/08/30,OK(1) B=26 V=2597001
0001953563,11:25:26,2016/08/30,OK(1) B=26 V=2597495
0001954692,11:26:53,2016/08/30,OK(1) B=26 V=2599752
0002002583,11:30:38,2016/08/30,OK(1) B=26 V=2626607
0001964241,11:35:25,2016/08/30,OK(1) B=26 V=36173282
0001953341,11:40:09,2016/08/30,OK(1) B=26 V=2597050
0001953432,11:40:49,2016/08/30,OK(1) B=26 V=2597233
0001953214,11:45:38,2016/08/30,OK(1) B=26 V=36151229
0002000107,11:50:00,2016/08/30,OK(1) B=26 V=2621654
0001953828,11:52:19,2016/08/30,OK(1) B=26 V=2598024
0002000757,11:59:36,2016/08/30,OK(1) B=26 V=2622954
0002002594,12:01:14,2016/08/30,OK(1) B=26 V=2626629
0002000255,12:06:46,2016/08/30,OK(1) B=26 V=2621951
0002000401,12:12:39,2016/08/30,OK(1) B=26 V=2622243
0002000363,12:16:19,2016/08/30,OK(1) B=26 V=2622167
0002003074,12:22:49,2016/08/30,OK(1) B=26 V=2627588
0002001058,12:24:58,2016/08/30,OK(1) B=26 V=2623556
0001953213,12:26:36,2016/08/30,OK(1) B=26 V=36151227
0001953661,12:28:30,2016/08/30,OK(1) B=26 V=2597691
0002001336,12:34:44,2016/08/30,OK(1) B=26 V=2624112
