20150603.txtl
0001954469,16:15:15,2015/06/02l
0001954469,16:15:19,2015/06/02l
0001953757,16:24:27,2015/06/02l
0001953677,16:25:47,2015/06/02l
0001953541,16:27:00,2015/06/02l
0001953309,16:28:48,2015/06/02l
0001953309,16:29:10,2015/06/02l
0001953309,16:29:20,2015/06/02l
0001953326,16:31:00,2015/06/02l
0001953670,16:32:14,2015/06/02l
0001953670,16:32:37,2015/06/02l
0001953343,16:35:41,2015/06/02l
0001953537,16:46:35,2015/06/02l
0001954226,16:47:56,2015/06/02l
0001954334,16:49:21,2015/06/02l
0002000472,16:51:37,2015/06/02l
0001953677,16:58:34,2015/06/02l
0001954507,16:59:40,2015/06/02l
0001953677,17:01:16,2015/06/02l
0001953677,17:03:50,2015/06/02l
0001953472,17:04:14,2015/06/02l
0001953595,17:07:25,2015/06/02l
0001953524,17:07:58,2015/06/02l
0002001508,17:09:57,2015/06/02l
0002000139,17:14:46,2015/06/02l
0002000139,17:15:07,2015/06/02l
0002000139,17:15:10,2015/06/02l
0001953677,17:15:38,2015/06/02l
0002001508,17:18:43,2015/06/02l
0001954373,17:30:24,2015/06/02l
0001953524,17:32:01,2015/06/02l
0001953524,17:32:06,2015/06/02l
0001953524,17:32:18,2015/06/02l
0001953524,17:32:19,2015/06/02l
0001953524,17:32:25,2015/06/02l
0002000139,17:34:14,2015/06/02l
0002000139,17:34:16,2015/06/02l
0002000139,17:34:18,2015/06/02l
0002000139,17:34:25,2015/06/02l
0002000139,17:34:29,2015/06/02l
0002000139,17:34:31,2015/06/02l
0002000139,17:34:40,2015/06/02l
0002000139,17:34:42,2015/06/02l
0001954355,17:35:55,2015/06/02l
0001954355,17:36:25,2015/06/02l
0001953894,17:43:00,2015/06/02l
0001953737,17:46:40,2015/06/02l
0001953537,17:47:28,2015/06/02l
0001954226,17:47:30,2015/06/02l
0001953578,17:55:02,2015/06/02l
0001953313,18:00:48,2015/06/02l
0001953313,18:04:29,2015/06/02l
0001953346,18:07:57,2015/06/02l
0001954496,18:09:29,2015/06/02l
0001954346,18:11:26,2015/06/02l
0001954346,18:11:27,2015/06/02l
0001953395,18:40:21,2015/06/02l
0001954373,18:44:33,2015/06/02l
0001953541,18:49:05,2015/06/02l
0001953309,18:49:09,2015/06/02l
0001954110,18:58:11,2015/06/02l
0001954410,18:59:20,2015/06/02l
0001954410,18:59:25,2015/06/02l
0001954410,18:59:30,2015/06/02l
0001953316,19:02:48,2015/06/02l
0001953541,19:05:55,2015/06/02l
0001954469,19:05:59,2015/06/02l
0001954410,19:07:42,2015/06/02l
0001954410,19:08:10,2015/06/02l
0002000697,19:10:23,2015/06/02l
0001953247,19:13:37,2015/06/02l
